Entity	Sentence	Uri	WikiTitle
Saint Thomas EntityMentionSEP Barbados EntityMentionSEP Barbadian EntityMentionSEP English EntityMentionSEP	Lawrence ' Larry ' Roosevelt Worrell ( born 28 August 1943 in Saint Thomas   Barbados ) is a Barbadian born former English .	NA Q9956 NA Q2472587	homas, Barbados WikiLabelSEP s WikiLabelSEP an people WikiLabelSEP  people WikiLabelSEP
off break EntityMentionSEP	Worrell was a right-handed who bowled right-arm off break .	Q4699995	ak WikiLabelSEP
first-class EntityMentionSEP Hampshire EntityMentionSEP New Zealanders EntityMentionSEP	Worrell made his first-class debut for Hampshire   playing a single match in 1969 against the touring New Zealanders .	NA NA NA	lass cricket WikiLabelSEP re County Cricket Club WikiLabelSEP land national cricket team WikiLabelSEP
Dorset EntityMentionSEP Berkshire EntityMentionSEP Cornwall EntityMentionSEP Somerset Second XI EntityMentionSEP	During the 1969 season Worrell also represented Dorset in the   playing against Berkshire   Cornwall and Somerset Second XI .	NA NA NA NA	County Cricket Club WikiLabelSEP re County Cricket Club WikiLabelSEP l County Cricket Club WikiLabelSEP t County Cricket Club WikiLabelSEP
	In 1971 Worrell returned to Hampshire for his second spell at the club .		
County Championship EntityMentionSEP Nottinghamshire EntityMentionSEP	Worrell made his County Championship debut against Nottinghamshire .	Q1079023 NA	Championship WikiLabelSEP hamshire County Cricket Club WikiLabelSEP
Leicestershire EntityMentionSEP	Worrell played 32 first-class matches for Hampshire   the last of which came against Leicestershire in 1972 .	NA	ershire County Cricket Club WikiLabelSEP
	Worrell scored 289 runs at an of 11.56 .		
	Worrell scored a single half-century in his career   making exactly 50 runs .		
	This was his highest first-class score .		
average EntityMentionSEP	An off break bowler   Worrell took 65 wickets at an average of 32.55   with best figures of 5-67 .	Q202785	 average WikiLabelSEP
Lancashire EntityMentionSEP	In 1972 Worrell made his only career apeearance against Lancashire	NA	ire County Cricket Club WikiLabelSEP
Charles IV of France EntityMentionSEP Margaret of Artois EntityMentionSEP	Jeanne d'Évreux ( 1310 -- 4 March 1371 ) was the third wife of King Charles IV of France   daughter of his uncle and Margaret of Artois .	NA NA	 IV of France WikiLabelSEP t of Artois WikiLabelSEP
direct line EntityMentionSEP Capetian dynasty EntityMentionSEP	"She bore no male heir   thus "" causing "" the end of the direct line of the Capetian dynasty ."	NA NA	f Capet WikiLabelSEP n dynasty WikiLabelSEP
Pope John XXII EntityMentionSEP	Because she was his first cousin   the couple required papal permission to marry from Pope John XXII .	NA	hn XXII WikiLabelSEP
Blanche EntityMentionSEP	Jeanne bore Charles three daughters   Jeanne   Marie and Blanche .	NA	 of France, Duchess of Orléans WikiLabelSEP
Virgin and Child EntityMentionSEP	Two of Jeanne 's remarkable possessions survive -- her and a statue of the Virgin and Child .	NA	of Jeanne d'Evreux WikiLabelSEP
Hours of Jeanne d'Evreux EntityMentionSEP The Cloisters EntityMentionSEP Metropolitan Museum of Art EntityMentionSEP	The Book of Hours   known as the Hours of Jeanne d'Evreux   is in The Cloisters collection of the Metropolitan Museum of Art in New York .	NA NA NA	f Jeanne d'Evreux WikiLabelSEP isters WikiLabelSEP litan Museum of Art WikiLabelSEP
