Entity	Sentence	Uri	WikiTitle
security EntityMentionSEP	Israel increases security at airports following threats	Q9973	y WikiLabelSEP
Israel EntityMentionSEP international airport EntityMentionSEP Islamic militants EntityMentionSEP U.S. EntityMentionSEP	Israel is adding security personnel at its international airport in response to threats by Islamic militants to attack Israeli and U.S. targets   including airlines   officials said Monday .	NA NA Q7283 NA	 WikiLabelSEP tional airport WikiLabelSEP  terrorism WikiLabelSEP States WikiLabelSEP
Benjamin Netanyahu EntityMentionSEP David Bar-Illan EntityMentionSEP terrorism EntityMentionSEP	Prime Minister Benjamin Netanyahu 's senior adviser   David Bar-Illan   said Israel would use all measures it deemed necessary to fight terrorism .	NA NA NA	n Netanyahu WikiLabelSEP ar-Illan WikiLabelSEP sm WikiLabelSEP
pre-emptive strikes EntityMentionSEP	"Asked whether this included pre-emptive strikes   Bar-Illan told The Associated Press : "" I do n't want to be specific about anything but obviously we are not ruling out anything . ''"	NA	ive war WikiLabelSEP
air strikes EntityMentionSEP Sudan EntityMentionSEP Afghanistan EntityMentionSEP Osama bin Laden EntityMentionSEP Saudi EntityMentionSEP embassies EntityMentionSEP East Africa EntityMentionSEP	Threats against U.S. and Israeli targets emerged after last week 's U.S. air strikes in Sudan and Afghanistan that were aimed at Osama bin Laden   a Saudi millionaire and Islamic militant linked to the bombings of two U.S. embassies in East Africa this month .	NA NA Q292230 NA Q7278701 NA Q7322497	ke WikiLabelSEP  WikiLabelSEP stan WikiLabelSEP in Laden WikiLabelSEP rabia WikiLabelSEP tic mission WikiLabelSEP rica WikiLabelSEP
Muslim EntityMentionSEP activist EntityMentionSEP strategic EntityMentionSEP	On Sunday   a leading Muslim activist close to bin Laden said Islamic militants are preparing to retaliate for the air strikes by targeting U.S. and Israeli strategic sites and airliners .	NA Q9933 Q9973	 WikiLabelSEP m WikiLabelSEP y WikiLabelSEP
University of Connecticut EntityMentionSEP security guards EntityMentionSEP	"A U.S. basketball team from the University of Connecticut   which arrived Monday for a nine-day tour of friendly games   hired two private security guards to accompany them in Israel . """	NA NA	ity of Connecticut WikiLabelSEP y guard WikiLabelSEP
administration EntityMentionSEP tour operator EntityMentionSEP	"The administration of the University of Connecticut demanded bodyguards and we readily agreed   '' said the teams ' tour operator Nels Hawkinson . """	NA NA	c administration WikiLabelSEP erator WikiLabelSEP
	Had it not been for the bombings in Afghanistan and Sudan we would not have seen the need   '' he said .		
	Pini Shis   6th graf pvs dl		
	Iraq   Iran sign pact to resolve POW issue		
Iraq EntityMentionSEP Iran EntityMentionSEP prisoners of war EntityMentionSEP	Iraq and Iran have signed a deal that Iraq says will resolve their longstanding dispute over prisoners of war .	NA NA	 WikiLabelSEP r of war WikiLabelSEP
Baghdad EntityMentionSEP Iraqi News Agency EntityMentionSEP	The agreement was reached following a week of talks in Baghdad between senior Iraqi officials and a visiting Iranian delegation headed by Abdullah al-Najafi   head of Iran 's POW commission   the official Iraqi News Agency reported Wednesday .	NA NA	 WikiLabelSEP l Iraqi News Agency WikiLabelSEP
	But the agency gave no further details and al-Najafi   who left Baghdad on Wednesday   declined to comment .		
Tehran EntityMentionSEP	Al-Najafi arrived in Baghdad last week with a list of thousands of Iranian POWs Tehran claims are still held by Iraq .	NA	 WikiLabelSEP
	Iraq has long maintained that it has released all Iranian prisoners and was reportedly angered by the new list .		
	In April   Iran released 5 584 Iraqi POWs and Iraq freed three POWs and 316 Iranians it classified as civil law detainees .		
repatriation EntityMentionSEP International Committee of the Red Cross EntityMentionSEP	It was the largest repatriation of Iranian and Iraqi POWs since 1990   said the International Committee of the Red Cross   which supervised the swap .	NA NA	ation WikiLabelSEP tional Committee of the Red Cross WikiLabelSEP
	The Red Cross says it knows of several thousand Iraqis in Iran   but it is not aware of more Iranian POWs in Iraq .		
Iran-Iraq war EntityMentionSEP	The Iran-Iraq war   in which more than more than 1 million people were killed or wounded   ended in 1988 .	NA	aq War WikiLabelSEP
	The issue of POWs has long stood in the way of better ties .		
	Iran to complain about U.S.-radio at the Hague tribunal		
the Hague EntityMentionSEP Radio Free Europe EntityMentionSEP	Iran will protest to the International Court of Justice at the Hague and other global bodies about the U.S.-funded Radio Free Europe   the Iran Daily reported Monday .	NA NA	ue WikiLabelSEP ree Europe/Radio Liberty WikiLabelSEP
Kamal Kharrazi EntityMentionSEP	"It quoted Foreign Minister Kamal Kharrazi as saying the radio "" was set up to interfere in Iran 's internal affairs . ''"	NA	harazi WikiLabelSEP
	It did not say when the complaints will be filed .		
ICJ EntityMentionSEP the Netherlands EntityMentionSEP	The English-language daily also did not say which organizations Iran will approach besides the ICJ in the Netherlands .	NA NA	tional Court of Justice WikiLabelSEP ands WikiLabelSEP
ambassador EntityMentionSEP Prague EntityMentionSEP Czech EntityMentionSEP economic EntityMentionSEP political EntityMentionSEP	On Tuesday   Iran recalled its ambassador from Prague to protest the Czech government 's assistance to the radio and said it would reduce the level of its economic and political cooperation with Prague .	Q297633 NA NA Q9956	dor WikiLabelSEP  WikiLabelSEP epublic WikiLabelSEP s WikiLabelSEP
Iraq EntityMentionSEP	The American-sponsored station also began broadcasts directed to Iraq on Friday .	NA	 WikiLabelSEP
	In a trial period of several weeks   the station will broadcast one 30-minute program a day to Iran and Iraq .		
Farsi EntityMentionSEP	The Farsi - language service to Iran was approved by the Czech government in August .	Q315	 language WikiLabelSEP
Munich , Germany EntityMentionSEP censored EntityMentionSEP Soviet EntityMentionSEP Iron Curtain EntityMentionSEP Cold War EntityMentionSEP West EntityMentionSEP Communist EntityMentionSEP East EntityMentionSEP	Radio Free Europe began transmitting from Munich   Germany   in 1951   spreading un censored news to Soviet - controlled countries behind the Iron Curtain during the Cold War between the West and the Communist East .	NA Q193818 Q227388 NA Q9852 Q16502 NA	 WikiLabelSEP hip WikiLabelSEP Union WikiLabelSEP rtain WikiLabelSEP r WikiLabelSEP  world WikiLabelSEP sm WikiLabelSEP
	It moved its headquarters to Prague in 1995 following the collapse of communism six years earlier .		
	ti/vj		
	Sotheby 's Announces Internet Site		
Beanie Babies EntityMentionSEP	NEW YORK ( AP ) -- Home shoppers can buy airline tickets   Beanie Babies and garden tools via computer .	NA	Babies WikiLabelSEP
Rembrandt EntityMentionSEP	Why not a $ 9 million Rembrandt painting ?	NA	dt WikiLabelSEP
